,image,ballet,xmin,xmax,ymin,ymax,staff_num,step_length,label,direction_movement,body_movement,height_movement
0,korobushka_none_1_1.png,korobushka,0.8625,112.0,1254.8552450029833,1338.0,1,0.15444215335981895,measure_1,,,
1,korobushka_none_1_1.png,korobushka,35.30625,58.3,1260.044385814439,1329.1185859188545,1,0.10334173809005692,"place, left_support_high",place,left_support,high
2,korobushka_none_1_1.png,korobushka,53.3125,79.05,1259.4269279534606,1329.0125578013126,1,0.10519911134010967,"place, right_support_middle",place,right_support,middle
3,korobushka_none_1_1.png,korobushka,0.0,112.0,936.384201596062,1252.3542288186156,1,1.0,measure_2,,,
4,korobushka_none_1_1.png,korobushka,50.26875,77.72500000000002,1173.444361575179,1250.1276383502388,1,0.1309758279079248,"backward, right_support_middle",backward,right_support,middle
5,korobushka_none_1_1.png,korobushka,33.456250000000004,53.77500000000001,1093.8671408860382,1171.5296185113366,1,0.13453201815497817,"backward, left_support_middle",backward,left_support,middle
6,korobushka_none_1_1.png,korobushka,54.09375,77.825,1050.4018496420047,1097.2288559069211,1,0.02254600171273164,"backward, right_support_middle",backward,right_support,middle
7,korobushka_none_1_1.png,korobushka,51.575,79.08125000000003,939.4403061605012,1020.3459967929593,1,0.14631048266751157,"place, right_support_middle",place,right_support,middle
8,korobushka_none_1_1.png,korobushka,2.60625,112.0,627.6427972106205,938.7791896628877,1,0.9824455576976653,measure_3,,,
9,korobushka_none_1_1.png,korobushka,33.06875,58.6125,861.0543425566824,937.1575831593077,1,0.12886929483164436,"forward, left_support_middle",forward,left_support,middle
10,korobushka_none_1_1.png,korobushka,54.02500000000001,78.7625,778.8014711366349,858.7279609188545,1,0.14275429242045862,"forward, right_support_middle",forward,right_support,middle
11,korobushka_none_1_1.png,korobushka,35.86875,59.4125,742.6209352625298,784.4396722106204,1,0.004357334398183794,"forward, left_support_middle",forward,left_support,middle
12,korobushka_none_1_1.png,korobushka,35.275,56.86875,622.5160258800715,708.7854918705251,1,0.16579025089978014,"place, left_support_middle",place,left_support,middle
13,korobushka_none_1_1.png,korobushka,1.5375,106.86875,312.26528005668257,627.9109859785203,1,0.9988221535487469,measure_4,,,
14,korobushka_none_1_1.png,korobushka,53.15625,82.8625,547.7599660650358,626.2082991497613,1,0.13738603070993802,"right_support_middle, backward",backward,right_support,middle
15,korobushka_none_1_1.png,korobushka,33.8125,56.0375,471.71285799522667,547.897178923031,1,0.12916375644445777,"backward, left_support_middle",backward,left_support,middle
16,korobushka_none_1_1.png,korobushka,55.00625,78.15,427.76732174821,469.3864763573986,1,0.0036325058127973492,"backward, right_support_middle",backward,right_support,middle
17,korobushka_none_1_1.png,korobushka,52.5125,77.14375000000003,312.701866423031,396.55763350238664,1,0.15702435519525937,"place, right_support_middle",place,right_support,middle
18,korobushka_none_1_1.png,korobushka,0.43125,112.0,0.9854377983293556,313.3879307130072,1,0.987043689036213,measure_5,,,
19,korobushka_none_1_1.png,korobushka,33.375,56.86875000000001,234.2161116497613,312.5771274612172,1,0.13706891820383155,"backward, left_support_middle",backward,left_support,middle
