,image,ballet,ymin,ymax,staff_num,step_length,label,direction_movement,body_movement,height_movement,measure_num
0,songs_none_1_1.png,songs,1245.7937984785206,1351.5280522822195,1,0.15821405556983847,"place, left_arm_low",place,left_arm,low,1
1,songs_none_1_1.png,songs,1247.9504400357996,1350.6131134397376,1,0.15297747470763415,"place, right_support_middle",place,right_support,middle,1
2,songs_none_1_1.png,songs,1247.002824806086,1350.0968265214794,1,0.15371282436062395,"place, left_support_middle",place,left_support,middle,1
3,songs_none_1_1.png,songs,1246.7610195405728,1348.5022188245825,1,0.1514065004489729,"place, right_arm_low",place,right_arm,low,1
4,songs_none_1_1.png,songs,1241.5981503579949,1316.6492765513126,1,0.1059039552548341,"forward, head_low",forward,head,low,1
5,songs_none_1_1.png,songs,1141.3208532219573,1232.3638033263726,1,0.13316760072252648,"place, left_arm_low",place,left_arm,low,2
6,songs_none_1_1.png,songs,1142.7128673180189,1231.3508353221955,1,0.12906746932403412,"place, right_arm_low",place,right_arm,low,2
7,songs_none_1_1.png,songs,939.2239334725535,1148.1567534307876,1,0.33415203087851897,"forward, head_middle",forward,head,middle,2
8,songs_none_1_1.png,songs,939.3742448538187,1129.95600574284,1,0.30286624564219566,"right_arm_middle, forward",forward,right_arm,middle,2
9,songs_none_1_1.png,songs,939.3350331891407,1126.4008148120524,1,0.2968720318041825,"forward, left_arm_middle",forward,left_arm,middle,2
10,songs_none_1_1.png,songs,337.9718731354415,937.4659438394988,1,1.0,"place, head_high",place,head,high,2
11,songs_none_1_1.png,songs,337.6189681533413,923.9836664677803,1,0.9776164022294255,"forward, left_arm_high",forward,left_arm,high,2
12,songs_none_1_1.png,songs,335.5864968675417,918.846938394988,1,0.9723241130601761,"forward, right_arm_high",forward,right_arm,high,2
13,songs_none_1_1.png,songs,335.12249216885436,639.7448444958234,1,0.4972882372283184,"place, left_support_high",place,left_support,high,2
14,songs_none_1_1.png,songs,336.66481764618135,638.3070834576373,1,0.49220763962583874,"place, right_support_high",place,right_support,high,3
15,songs_none_1_1.png,songs,76.15558808174224,188.40551349940338,1,0.16932229199455912,"head_high, forward",forward,head,high,3
16,songs_none_1_1.png,songs,80.54075924821002,149.7885590692124,1,0.09601015992368879,"place, left_arm_high",place,left_arm,high,3
17,songs_none_1_1.png,songs,81.22042810262529,148.5533916318616,1,0.09274565313086743,"place, right_arm_high",place,right_arm,high,3
18,songs_none_1_2.png,songs,1046.5373471062053,1248.627666318616,2,0.32248660012567726,"place, left_support_middle",place,left_support,middle,4
19,songs_none_1_2.png,songs,1045.1720428102626,1247.287645435561,2,0.3225297045275899,"place, right_support_middle",place,right_support,middle,4
21,songs_none_1_2.png,songs,1043.19361575179,1231.7509882159904,2,0.29941496900170456,"left_hand_middle, backward",backward,left_hand,middle,4
22,songs_none_1_2.png,songs,1046.0506414081146,1226.4035463902146,2,0.2854275905809122,"backward, right_hand_middle",backward,right_hand,middle,4
23,songs_none_1_2.png,songs,1039.792996718377,1225.2531511038185,2,0.2941346797673532,"right_arm_middle, forward_diagonal, backward_diagonal",forward_diagonal,right_arm,middle,4
24,songs_none_1_2.png,songs,1042.6816266408116,1191.373377834129,2,0.2314501032852677,"backward, left_body_high",backward,left_body,high,4
25,songs_none_1_2.png,songs,687.8289267601433,946.3012567124106,2,0.4186094163918284,"place, right_support_low",place,right_support,low,4
26,songs_none_1_2.png,songs,687.4180713007161,945.1255780131266,2,0.4173055082339582,"place, left_support_low",place,left_support,low,4
27,songs_none_1_2.png,songs,686.7101357398567,905.0197643198093,2,0.3501380739529133,"backward, left_arm_high",backward,left_arm,high,4
28,songs_none_1_2.png,songs,640.043276402148,686.6595689140811,2,0.057426856661715445,"place, left_arm_high",place,left_arm,high,4
29,songs_none_1_2.png,songs,637.5212559665871,670.775264767303,2,0.03464618025065663,"place, right_support_high",place,right_support,high,4
